team,pb_phase,map,tourney_type,match_id
DRX,ban,Lotus,League Play: Week 1,184456
ZETA,ban,Fracture,League Play: Week 1,184456
DRX,pick,Ascent,League Play: Week 1,184456
ZETA,pick,Pearl,League Play: Week 1,184456
DRX,ban,Split,League Play: Week 1,184456
ZETA,ban,Icebox,League Play: Week 1,184456
GES,ban,Fracture,League Play: Week 1,184457
T1,ban,Split,League Play: Week 1,184457
GES,pick,Pearl,League Play: Week 1,184457
T1,pick,Haven,League Play: Week 1,184457
GES,ban,Ascent,League Play: Week 1,184457
T1,ban,Icebox,League Play: Week 1,184457
PRX,ban,Icebox,League Play: Week 1,184458
DFM,ban,Ascent,League Play: Week 1,184458
PRX,pick,Pearl,League Play: Week 1,184458
DFM,pick,Lotus,League Play: Week 1,184458
PRX,ban,Haven,League Play: Week 1,184458
DFM,ban,Split,League Play: Week 1,184458
TLN,ban,Haven,League Play: Week 1,184459
TS,ban,Pearl,League Play: Week 1,184459
TLN,pick,Ascent,League Play: Week 1,184459
TS,pick,Icebox,League Play: Week 1,184459
TLN,ban,Split,League Play: Week 1,184459
TS,ban,Lotus,League Play: Week 1,184459
GEN,ban,Icebox,League Play: Week 1,184460
RRQ,ban,Split,League Play: Week 1,184460
GEN,pick,Fracture,League Play: Week 1,184460
RRQ,pick,Lotus,League Play: Week 1,184460
GEN,ban,Ascent,League Play: Week 1,184460
RRQ,ban,Pearl,League Play: Week 1,184460
ZETA,ban,Fracture,League Play: Week 2,184461
RRQ,ban,Pearl,League Play: Week 2,184461
ZETA,pick,Haven,League Play: Week 2,184461
RRQ,pick,Ascent,League Play: Week 2,184461
ZETA,ban,Icebox,League Play: Week 2,184461
RRQ,ban,Split,League Play: Week 2,184461
T1,ban,Split,League Play: Week 2,184462
TLN,ban,Pearl,League Play: Week 2,184462
T1,pick,Ascent,League Play: Week 2,184462
TLN,pick,Haven,League Play: Week 2,184462
T1,ban,Icebox,League Play: Week 2,184462
TLN,ban,Fracture,League Play: Week 2,184462
TS,ban,Pearl,League Play: Week 2,184463
PRX,ban,Icebox,League Play: Week 2,184463
TS,pick,Haven,League Play: Week 2,184463
PRX,pick,Fracture,League Play: Week 2,184463
TS,ban,Ascent,League Play: Week 2,184463
PRX,ban,Lotus,League Play: Week 2,184463
DFM,ban,Icebox,League Play: Week 2,184465
GEN,ban,Split,League Play: Week 2,184465
DFM,pick,Lotus,League Play: Week 2,184465
GEN,pick,Fracture,League Play: Week 2,184465
DFM,ban,Ascent,League Play: Week 2,184465
GEN,ban,Haven,League Play: Week 2,184465
DRX,ban,Lotus,League Play: Week 2,184466
GES,ban,Ascent,League Play: Week 2,184466
DRX,pick,Haven,League Play: Week 2,184466
GES,pick,Split,League Play: Week 2,184466
DRX,ban,Fracture,League Play: Week 2,184466
GES,ban,Icebox,League Play: Week 2,184466
RRQ,ban,Lotus,League Play: Week 3,184467
DFM,ban,Icebox,League Play: Week 3,184467
RRQ,pick,Haven,League Play: Week 3,184467
DFM,pick,Pearl,League Play: Week 3,184467
RRQ,ban,Fracture,League Play: Week 3,184467
DFM,ban,Split,League Play: Week 3,184467
T1,ban,Icebox,League Play: Week 3,184468
PRX,ban,Haven,League Play: Week 3,184468
T1,pick,Pearl,League Play: Week 3,184468
PRX,pick,Fracture,League Play: Week 3,184468
T1,ban,Ascent,League Play: Week 3,184468
PRX,ban,Split,League Play: Week 3,184468
GES,ban,Fracture,League Play: Week 3,184469
ZETA,ban,Split,League Play: Week 3,184469
GES,pick,Pearl,League Play: Week 3,184469
ZETA,pick,Ascent,League Play: Week 3,184469
GES,ban,Icebox,League Play: Week 3,184469
ZETA,ban,Lotus,League Play: Week 3,184469
TLN,ban,Haven,League Play: Week 3,184470
DRX,ban,Lotus,League Play: Week 3,184470
TLN,pick,Split,League Play: Week 3,184470
DRX,pick,Pearl,League Play: Week 3,184470
TLN,ban,Fracture,League Play: Week 3,184470
DRX,ban,Icebox,League Play: Week 3,184470
GEN,ban,Icebox,League Play: Week 3,184471
TS,ban,Pearl,League Play: Week 3,184471
GEN,pick,Haven,League Play: Week 3,184471
TS,pick,Fracture,League Play: Week 3,184471
GEN,ban,Ascent,League Play: Week 3,184471
TS,ban,Split,League Play: Week 3,184471
DRX,ban,Lotus,League Play: Week 4,184472
PRX,ban,Haven,League Play: Week 4,184472
DRX,pick,Ascent,League Play: Week 4,184472
PRX,pick,Split,League Play: Week 4,184472
DRX,ban,Pearl,League Play: Week 4,184472
PRX,ban,Icebox,League Play: Week 4,184472
TS,ban,Pearl,League Play: Week 4,184473
RRQ,ban,Lotus,League Play: Week 4,184473
TS,pick,Icebox,League Play: Week 4,184473
RRQ,pick,Split,League Play: Week 4,184473
TS,ban,Ascent,League Play: Week 4,184473
RRQ,ban,Fracture,League Play: Week 4,184473
T1,ban,Pearl,League Play: Week 4,184474
GEN,ban,Icebox,League Play: Week 4,184474
T1,pick,Ascent,League Play: Week 4,184474
GEN,pick,Haven,League Play: Week 4,184474
T1,ban,Split,League Play: Week 4,184474
GEN,ban,Fracture,League Play: Week 4,184474
ZETA,ban,Lotus,League Play: Week 4,184475
DFM,ban,Split,League Play: Week 4,184475
ZETA,pick,Ascent,League Play: Week 4,184475
DFM,pick,Haven,League Play: Week 4,184475
ZETA,ban,Fracture,League Play: Week 4,184475
DFM,ban,Icebox,League Play: Week 4,184475
GES,ban,Fracture,League Play: Week 4,184476
TLN,ban,Pearl,League Play: Week 4,184476
GES,pick,Split,League Play: Week 4,184476
TLN,pick,Icebox,League Play: Week 4,184476
GES,ban,Ascent,League Play: Week 4,184476
TLN,ban,Lotus,League Play: Week 4,184476
PRX,ban,Haven,League Play: Week 5,184477
GES,ban,Fracture,League Play: Week 5,184477
PRX,pick,Icebox,League Play: Week 5,184477
GES,pick,Split,League Play: Week 5,184477
PRX,ban,Ascent,League Play: Week 5,184477
GES,ban,Lotus,League Play: Week 5,184477
GEN,ban,Icebox,League Play: Week 5,184478
DRX,ban,Lotus,League Play: Week 5,184478
GEN,pick,Haven,League Play: Week 5,184478
DRX,pick,Fracture,League Play: Week 5,184478
GEN,ban,Ascent,League Play: Week 5,184478
DRX,ban,Split,League Play: Week 5,184478
RRQ,ban,Lotus,League Play: Week 5,184479
T1,ban,Split,League Play: Week 5,184479
RRQ,pick,Haven,League Play: Week 5,184479
T1,pick,Fracture,League Play: Week 5,184479
RRQ,ban,Icebox,League Play: Week 5,184479
T1,ban,Ascent,League Play: Week 5,184479
DFM,ban,Icebox,League Play: Week 5,184480
TS,ban,Lotus,League Play: Week 5,184480
DFM,pick,Ascent,League Play: Week 5,184480
TS,pick,Haven,League Play: Week 5,184480
DFM,ban,Split,League Play: Week 5,184480
TS,ban,Pearl,League Play: Week 5,184480
TLN,ban,Lotus,League Play: Week 5,184481
ZETA,ban,Icebox,League Play: Week 5,184481
TLN,pick,Haven,League Play: Week 5,184481
ZETA,pick,Ascent,League Play: Week 5,184481
TLN,ban,Fracture,League Play: Week 5,184481
ZETA,ban,Pearl,League Play: Week 5,184481
T1,ban,Haven,League Play: Week 6,184482
DFM,ban,Bind,League Play: Week 6,184482
T1,pick,Lotus,League Play: Week 6,184482
DFM,pick,Split,League Play: Week 6,184482
T1,ban,Ascent,League Play: Week 6,184482
DFM,ban,Pearl,League Play: Week 6,184482
ZETA,ban,Haven,League Play: Week 6,184483
TS,ban,Pearl,League Play: Week 6,184483
ZETA,pick,Split,League Play: Week 6,184483
TS,pick,Lotus,League Play: Week 6,184483
ZETA,ban,Ascent,League Play: Week 6,184483
TS,ban,Bind,League Play: Week 6,184483
GES,ban,Fracture,League Play: Week 6,184484
GEN,ban,Split,League Play: Week 6,184484
GES,pick,Pearl,League Play: Week 6,184484
GEN,pick,Lotus,League Play: Week 6,184484
GES,ban,Ascent,League Play: Week 6,184484
GEN,ban,Bind,League Play: Week 6,184484
DRX,ban,Lotus,League Play: Week 6,184485
RRQ,ban,Bind,League Play: Week 6,184485
DRX,pick,Haven,League Play: Week 6,184485
RRQ,pick,Split,League Play: Week 6,184485
DRX,ban,Fracture,League Play: Week 6,184485
RRQ,ban,Ascent,League Play: Week 6,184485
TLN,ban,Bind,League Play: Week 6,184486
PRX,ban,Haven,League Play: Week 6,184486
TLN,pick,Pearl,League Play: Week 6,184486
PRX,pick,Split,League Play: Week 6,184486
TLN,ban,Ascent,League Play: Week 6,184486
PRX,ban,Lotus,League Play: Week 6,184486
GEN,ban,Pearl,League Play: Week 7,184488
TLN,ban,Split,League Play: Week 7,184488
GEN,pick,Fracture,League Play: Week 7,184488
TLN,pick,Lotus,League Play: Week 7,184488
GEN,ban,Bind,League Play: Week 7,184488
TLN,ban,Ascent,League Play: Week 7,184488
PRX,ban,Haven,League Play: Week 7,184489
ZETA,ban,Pearl,League Play: Week 7,184489
PRX,pick,Split,League Play: Week 7,184489
ZETA,pick,Ascent,League Play: Week 7,184489
PRX,ban,Fracture,League Play: Week 7,184489
ZETA,ban,Bind,League Play: Week 7,184489
RRQ,ban,Lotus,League Play: Week 7,184490
GES,ban,Haven,League Play: Week 7,184490
RRQ,pick,Fracture,League Play: Week 7,184490
GES,pick,Pearl,League Play: Week 7,184490
RRQ,ban,Split,League Play: Week 7,184490
GES,ban,Ascent,League Play: Week 7,184490
TS,ban,Pearl,League Play: Week 7,184491
T1,ban,Haven,League Play: Week 7,184491
TS,pick,Lotus,League Play: Week 7,184491
T1,pick,Bind,League Play: Week 7,184491
TS,ban,Ascent,League Play: Week 7,184491
T1,ban,Split,League Play: Week 7,184491
DFM,ban,Haven,League Play: Week 7,184492
DRX,ban,Lotus,League Play: Week 7,184492
DFM,pick,Fracture,League Play: Week 7,184492
DRX,pick,Ascent,League Play: Week 7,184492
DFM,ban,Split,League Play: Week 7,184492
DRX,ban,Bind,League Play: Week 7,184492
PRX,ban,Haven,League Play: Week 8,184493
GEN,ban,Pearl,League Play: Week 8,184493
PRX,pick,Split,League Play: Week 8,184493
GEN,pick,Ascent,League Play: Week 8,184493
PRX,ban,Fracture,League Play: Week 8,184493
GEN,ban,Bind,League Play: Week 8,184493
ZETA,ban,Pearl,League Play: Week 8,184494
T1,ban,Split,League Play: Week 8,184494
ZETA,pick,Fracture,League Play: Week 8,184494
T1,pick,Lotus,League Play: Week 8,184494
ZETA,ban,Ascent,League Play: Week 8,184494
T1,ban,Haven,League Play: Week 8,184494
TS,ban,Pearl,League Play: Week 8,184495
DRX,ban,Lotus,League Play: Week 8,184495
TS,pick,Haven,League Play: Week 8,184495
DRX,pick,Ascent,League Play: Week 8,184495
TS,ban,Split,League Play: Week 8,184495
DRX,ban,Bind,League Play: Week 8,184495
DFM,ban,Haven,League Play: Week 8,184496
GES,ban,Fracture,League Play: Week 8,184496
DFM,pick,Lotus,League Play: Week 8,184496
GES,pick,Pearl,League Play: Week 8,184496
DFM,ban,Ascent,League Play: Week 8,184496
GES,ban,Split,League Play: Week 8,184496
RRQ,ban,Lotus,League Play: Week 8,184497
TLN,ban,Fracture,League Play: Week 8,184497
RRQ,pick,Split,League Play: Week 8,184497
TLN,pick,Ascent,League Play: Week 8,184497
RRQ,ban,Pearl,League Play: Week 8,184497
TLN,ban,Bind,League Play: Week 8,184497
GEN,ban,Pearl,League Play: Week 8,184498
ZETA,ban,Bind,League Play: Week 8,184498
GEN,pick,Haven,League Play: Week 8,184498
ZETA,pick,Ascent,League Play: Week 8,184498
GEN,ban,Lotus,League Play: Week 8,184498
ZETA,ban,Split,League Play: Week 8,184498
T1,ban,Split,League Play: Week 8,184499
DRX,ban,Lotus,League Play: Week 8,184499
T1,pick,Bind,League Play: Week 8,184499
DRX,pick,Pearl,League Play: Week 8,184499
T1,ban,Haven,League Play: Week 8,184499
DRX,ban,Fracture,League Play: Week 8,184499
TS,ban,Pearl,League Play: Week 8,184500
GES,ban,Fracture,League Play: Week 8,184500
TS,pick,Haven,League Play: Week 8,184500
GES,pick,Lotus,League Play: Week 8,184500
TS,ban,Split,League Play: Week 8,184500
GES,ban,Ascent,League Play: Week 8,184500
TLN,ban,Ascent,League Play: Week 8,184501
DFM,ban,Haven,League Play: Week 8,184501
TLN,pick,Lotus,League Play: Week 8,184501
DFM,pick,Bind,League Play: Week 8,184501
TLN,ban,Split,League Play: Week 8,184501
DFM,ban,Pearl,League Play: Week 8,184501
RRQ,ban,Lotus,League Play: Week 8,184502
PRX,ban,Haven,League Play: Week 8,184502
RRQ,pick,Bind,League Play: Week 8,184502
PRX,pick,Pearl,League Play: Week 8,184502
RRQ,ban,Split,League Play: Week 8,184502
PRX,ban,Ascent,League Play: Week 8,184502
T1,ban,Split,Playoffs: Upper Round 1,184514
GEN,ban,Pearl,Playoffs: Upper Round 1,184514
T1,pick,Fracture,Playoffs: Upper Round 1,184514
GEN,pick,Ascent,Playoffs: Upper Round 1,184514
T1,ban,Haven,Playoffs: Upper Round 1,184514
GEN,ban,Bind,Playoffs: Upper Round 1,184514
TS,ban,Pearl,Playoffs: Upper Semifinals,184515
DRX,ban,Lotus,Playoffs: Upper Semifinals,184515
TS,pick,Haven,Playoffs: Upper Semifinals,184515
DRX,pick,Split,Playoffs: Upper Semifinals,184515
TS,ban,Fracture,Playoffs: Upper Semifinals,184515
DRX,ban,Ascent,Playoffs: Upper Semifinals,184515
T1,ban,Split,Playoffs: Upper Semifinals,184516
PRX,ban,Haven,Playoffs: Upper Semifinals,184516
T1,pick,Lotus,Playoffs: Upper Semifinals,184516
PRX,pick,Fracture,Playoffs: Upper Semifinals,184516
T1,ban,Ascent,Playoffs: Upper Semifinals,184516
PRX,ban,Pearl,Playoffs: Upper Semifinals,184516
ZETA,ban,Pearl,Playoffs: Lower Round 1,184517
T1,ban,Split,Playoffs: Lower Round 1,184517
ZETA,pick,Haven,Playoffs: Lower Round 1,184517
T1,pick,Bind,Playoffs: Lower Round 1,184517
ZETA,ban,Lotus,Playoffs: Lower Round 1,184517
T1,ban,Ascent,Playoffs: Lower Round 1,184517
GEN,ban,Fracture,Playoffs: Lower Round 1,184518
TS,ban,Pearl,Playoffs: Lower Round 1,184518
GEN,pick,Ascent,Playoffs: Lower Round 1,184518
TS,pick,Haven,Playoffs: Lower Round 1,184518
GEN,ban,Lotus,Playoffs: Lower Round 1,184518
TS,ban,Bind,Playoffs: Lower Round 1,184518
PRX,ban,Haven,Playoffs: Upper Final,184519
DRX,ban,Lotus,Playoffs: Upper Final,184519
PRX,pick,Fracture,Playoffs: Upper Final,184519
DRX,pick,Bind,Playoffs: Upper Final,184519
PRX,ban,Split,Playoffs: Upper Final,184519
DRX,ban,Ascent,Playoffs: Upper Final,184519
T1,ban,Split,Playoffs: Lower Round 2,184520
GEN,ban,Pearl,Playoffs: Lower Round 2,184520
T1,pick,Fracture,Playoffs: Lower Round 2,184520
GEN,pick,Ascent,Playoffs: Lower Round 2,184520
T1,ban,Haven,Playoffs: Lower Round 2,184520
GEN,ban,Bind,Playoffs: Lower Round 2,184520
DRX,ban,Lotus,Playoffs: Lower Final,184521
T1,ban,Split,Playoffs: Lower Final,184521
DRX,pick,Ascent,Playoffs: Lower Final,184521
T1,pick,Fracture,Playoffs: Lower Final,184521
DRX,pick,Haven,Playoffs: Lower Final,184521
T1,pick,Bind,Playoffs: Lower Final,184521
PRX,ban,Haven,Playoffs: Grand Final,184522
PRX,ban,Split,Playoffs: Grand Final,184522
PRX,pick,Fracture,Playoffs: Grand Final,184522
DRX,pick,Ascent,Playoffs: Grand Final,184522
PRX,pick,Lotus,Playoffs: Grand Final,184522
DRX,pick,Pearl,Playoffs: Grand Final,184522
